Codigo_Region;Nombre_Region;Abreviatura_Region;Codigo_Provincia;Nombre_Provincia;Codigo_Comuna_2018;Nombre_Comuna
01;Tarapacx;TPCA;011;Iquique;01101;Iquique
01;Tarapacx;TPCA;011;Iquique;01107;Alto Hospicio
01;Tarapacx;TPCA;014;Tamarugal;01401;Pozo Almonte
01;Tarapacx;TPCA;014;Tamarugal;01402;Camixa
01;Tarapacx;TPCA;014;Tamarugal;01403;Colchane
01;Tarapacx;TPCA;014;Tamarugal;01404;Huara
01;Tarapacx;TPCA;014;Tamarugal;01405;Pica
02;Antofagasta;ANTOF;021;Antofagasta;02101;Antofagasta
02;Antofagasta;ANTOF;021;Antofagasta;02102;Mejillones
02;Antofagasta;ANTOF;021;Antofagasta;02103;Sierra Gorda
02;Antofagasta;ANTOF;021;Antofagasta;02104;Taltal
02;Antofagasta;ANTOF;022;El Loa;02201;Calama
02;Antofagasta;ANTOF;022;El Loa;02202;Ollagxe
02;Antofagasta;ANTOF;022;El Loa;02203;San Pedro de Atacama
02;Antofagasta;ANTOF;023;Tocopilla;02301;Tocopilla
02;Antofagasta;ANTOF;023;Tocopilla;02302;Marxa Elena
03;Atacama;ATCMA;031;Copiapx;03101;Copiapx
03;Atacama;ATCMA;031;Copiapx;03102;Caldera
03;Atacama;ATCMA;031;Copiapx;03103;Tierra Amarilla
03;Atacama;ATCMA;032;Chaxaral;03201;Chaxaral
03;Atacama;ATCMA;032;Chaxaral;03202;Diego de Almagro
03;Atacama;ATCMA;033;Huasco;03301;Vallenar
03;Atacama;ATCMA;033;Huasco;03302;Alto del Carmen
03;Atacama;ATCMA;033;Huasco;03303;Freirina
03;Atacama;ATCMA;033;Huasco;03304;Huasco
04;Coquimbo;COQ;041;Elqui;04101;La Serena
04;Coquimbo;COQ;041;Elqui;04102;Coquimbo
04;Coquimbo;COQ;041;Elqui;04103;Andacollo
04;Coquimbo;COQ;041;Elqui;04104;La Higuera
04;Coquimbo;COQ;041;Elqui;04105;Paiguano
04;Coquimbo;COQ;041;Elqui;04106;Vicuxa
04;Coquimbo;COQ;042;Choapa;04201;Illapel
04;Coquimbo;COQ;042;Choapa;04202;Canela
04;Coquimbo;COQ;042;Choapa;04203;Los Vilos
04;Coquimbo;COQ;042;Choapa;04204;Salamanca
04;Coquimbo;COQ;043;Limarx;04301;Ovalle
04;Coquimbo;COQ;043;Limarx;04302;Combarbalx
04;Coquimbo;COQ;043;Limarx;04303;Monte Patria
04;Coquimbo;COQ;043;Limarx;04304;Punitaqui
04;Coquimbo;COQ;043;Limarx;04305;Rxo Hurtado
05;Valparaxso;VALPO;051;Valparaxso;05101;Valparaxso
05;Valparaxso;VALPO;051;Valparaxso;05102;Casablanca
05;Valparaxso;VALPO;051;Valparaxso;05103;Concxn
05;Valparaxso;VALPO;051;Valparaxso;05104;Juan Fernxndez
05;Valparaxso;VALPO;051;Valparaxso;05105;Puchuncavx
05;Valparaxso;VALPO;051;Valparaxso;05107;Quintero
05;Valparaxso;VALPO;051;Valparaxso;05109;Vixa del Mar
05;Valparaxso;VALPO;052;Isla de Pascua;05201;Isla de Pascua
05;Valparaxso;VALPO;053;Los Andes;05301;Los Andes
05;Valparaxso;VALPO;053;Los Andes;05302;Calle Larga
05;Valparaxso;VALPO;053;Los Andes;05303;Rinconada
05;Valparaxso;VALPO;053;Los Andes;05304;San Esteban
05;Valparaxso;VALPO;054;Petorca;05401;La Ligua
05;Valparaxso;VALPO;054;Petorca;05402;Cabildo
05;Valparaxso;VALPO;054;Petorca;05403;Papudo
05;Valparaxso;VALPO;054;Petorca;05404;Petorca
05;Valparaxso;VALPO;054;Petorca;05405;Zapallar
05;Valparaxso;VALPO;055;Quillota;05501;Quillota
05;Valparaxso;VALPO;055;Quillota;05502;Calera
05;Valparaxso;VALPO;055;Quillota;05503;Hijuelas
05;Valparaxso;VALPO;055;Quillota;05504;La Cruz
05;Valparaxso;VALPO;055;Quillota;05506;Nogales
05;Valparaxso;VALPO;056;San Antonio;05601;San Antonio
05;Valparaxso;VALPO;056;San Antonio;05602;Algarrobo
05;Valparaxso;VALPO;056;San Antonio;05603;Cartagena
05;Valparaxso;VALPO;056;San Antonio;05604;El Quisco
05;Valparaxso;VALPO;056;San Antonio;05605;El Tabo
05;Valparaxso;VALPO;056;San Antonio;05606;Santo Domingo
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05701;San Felipe
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05702;Catemu
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05703;Llaillay
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05704;Panquehue
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05705;Putaendo
05;Valparaxso;VALPO;057;San Felipe de Aconcagua;05706;Santa Marxa
05;Valparaxso;VALPO;058;Marga Marga;05801;Quilpux
05;Valparaxso;VALPO;058;Marga Marga;05802;Limache
05;Valparaxso;VALPO;058;Marga Marga;05803;Olmux
05;Valparaxso;VALPO;058;Marga Marga;05804;Villa Alemana
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06101;Rancagua
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06102;Codegua
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06103;Coinco
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06104;Coltauco
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06105;Doxihue
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06106;Graneros
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06107;Las Cabras
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06108;Machalx
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06109;Malloa
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06110;Mostazal
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06111;Olivar
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06112;Peumo
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06113;Pichidegua
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06114;Quinta de Tilcoco
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06115;Rengo
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06116;Requxnoa
06;Libertador General Bernardo O'Higgins;LGBO;061;Cachapoal;06117;San Vicente
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06201;Pichilemu
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06202;La Estrella
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06203;Litueche
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06204;Marchihue
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06205;Navidad
06;Libertador General Bernardo O'Higgins;LGBO;062;Cardenal Caro;06206;Paredones
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06301;San Fernando
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06302;Chxpica
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06303;Chimbarongo
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06304;Lolol
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06305;Nancagua
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06306;Palmilla
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06307;Peralillo
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06308;Placilla
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06309;Pumanque
06;Libertador General Bernardo O'Higgins;LGBO;063;Colchagua;06310;Santa Cruz
07;Maule;MAULE;071;Talca;07101;Talca
07;Maule;MAULE;071;Talca;07102;Constitucixn
07;Maule;MAULE;071;Talca;07103;Curepto
07;Maule;MAULE;071;Talca;07104;Empedrado
07;Maule;MAULE;071;Talca;07105;Maule
07;Maule;MAULE;071;Talca;07106;Pelarco
07;Maule;MAULE;071;Talca;07107;Pencahue
07;Maule;MAULE;071;Talca;07108;Rxo Claro
07;Maule;MAULE;071;Talca;07109;San Clemente
07;Maule;MAULE;071;Talca;07110;San Rafael
07;Maule;MAULE;072;Cauquenes;07201;Cauquenes
07;Maule;MAULE;072;Cauquenes;07202;Chanco
07;Maule;MAULE;072;Cauquenes;07203;Pelluhue
07;Maule;MAULE;073;Curicx;07301;Curicx
07;Maule;MAULE;073;Curicx;07302;Hualaxx
07;Maule;MAULE;073;Curicx;07303;Licantxn
07;Maule;MAULE;073;Curicx;07304;Molina
07;Maule;MAULE;073;Curicx;07305;Rauco
07;Maule;MAULE;073;Curicx;07306;Romeral
07;Maule;MAULE;073;Curicx;07307;Sagrada Familia
07;Maule;MAULE;073;Curicx;07308;Teno
07;Maule;MAULE;073;Curicx;07309;Vichuquxn
07;Maule;MAULE;074;Linares;07401;Linares
07;Maule;MAULE;074;Linares;07402;Colbxn
07;Maule;MAULE;074;Linares;07403;Longavx
07;Maule;MAULE;074;Linares;07404;Parral
07;Maule;MAULE;074;Linares;07405;Retiro
07;Maule;MAULE;074;Linares;07406;San Javier
07;Maule;MAULE;074;Linares;07407;Villa Alegre
07;Maule;MAULE;074;Linares;07408;Yerbas Buenas
08;Biobxo;BBIO;081;Concepcixn;08101;Concepcixn
08;Biobxo;BBIO;081;Concepcixn;08102;Coronel
08;Biobxo;BBIO;081;Concepcixn;08103;Chiguayante
08;Biobxo;BBIO;081;Concepcixn;08104;Florida
08;Biobxo;BBIO;081;Concepcixn;08105;Hualqui
08;Biobxo;BBIO;081;Concepcixn;08106;Lota
08;Biobxo;BBIO;081;Concepcixn;08107;Penco
08;Biobxo;BBIO;081;Concepcixn;08108;San Pedro de la Paz
08;Biobxo;BBIO;081;Concepcixn;08109;Santa Juana
08;Biobxo;BBIO;081;Concepcixn;08110;Talcahuano
08;Biobxo;BBIO;081;Concepcixn;08111;Tomx
08;Biobxo;BBIO;081;Concepcixn;08112;Hualpxn
08;Biobxo;BBIO;082;Arauco;08201;Lebu
08;Biobxo;BBIO;082;Arauco;08202;Arauco
08;Biobxo;BBIO;082;Arauco;08203;Caxete
08;Biobxo;BBIO;082;Arauco;08204;Contulmo
08;Biobxo;BBIO;082;Arauco;08205;Curanilahue
08;Biobxo;BBIO;082;Arauco;08206;Los Alamos
08;Biobxo;BBIO;082;Arauco;08207;Tirxa
08;Biobxo;BBIO;083;Biobxo;08301;Los Angeles
08;Biobxo;BBIO;083;Biobxo;08302;Antuco
